call_id,agent_id,customer_id,call_duration_sec,transcript,payment_outcome
C001,A103,U151,173,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Can’t pay now. Agent: Let me process the payment",Paid
C002,A101,U204,388,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Already paid. Agent: Let's schedule a follow-up",Not Paid
C003,A104,U146,277,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Wrong number. Agent: Let's schedule a follow-up",Not Paid
C004,A101,U220,260,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I need more time. Agent: We can do installments",Paid
C005,A102,U482,162,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Can’t pay now. Agent: I'll update your status",Paid
C006,A103,U299,382,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Please stop calling. Agent: I'll escalate the case",Paid
C007,A104,U583,146,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Please stop calling. Agent: Let me process the payment",Paid
C008,A101,U653,263,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: This is harassment. Agent: I'll escalate the case",Not Paid
C009,A104,U978,298,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Please stop calling. Agent: Let's schedule a follow-up",Not Paid
C010,A104,U996,388,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Will talk to lawyer. Agent: I'll update your status",Paid
C011,A104,U389,176,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Will talk to lawyer. Agent: Let's schedule a follow-up",Paid
C012,A103,U456,117,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I'm waiting for salary. Agent: Let's schedule a follow-up",Paid
C013,A103,U956,377,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Will talk to lawyer. Agent: I'll update your status",Not Paid
C014,A102,U300,176,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I'm waiting for salary. Agent: I'll update your status",Paid
C015,A101,U853,359,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Can’t pay now. Agent: I'll escalate the case",Not Paid
C016,A104,U721,332,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Please stop calling. Agent: I'll update your status",Not Paid
C017,A104,U563,329,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I'm waiting for salary. Agent: Payment confirmed",Paid
C018,A101,U731,160,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Will talk to lawyer. Agent: I'll update your status",Not Paid
C019,A103,U360,221,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Wrong number. Agent: I'll escalate the case",Not Paid
C020,A102,U393,373,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Wrong number. Agent: Let me process the payment",Paid
C021,A103,U511,122,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I’ll pay next week. Agent: Let me process the payment",Paid
C022,A103,U696,278,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: This is harassment. Agent: We can do installments",Paid
C023,A104,U837,154,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Will talk to lawyer. Agent: Let me process the payment",Paid
C024,A104,U407,373,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Wrong number. Agent: Let's schedule a follow-up",Paid
C025,A101,U626,240,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: This is harassment. Agent: Payment confirmed",Paid
C026,A102,U347,104,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I need more time. Agent: Let me process the payment",Not Paid
C027,A102,U988,379,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: This is harassment. Agent: I'll update your status",Not Paid
C028,A101,U889,138,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Already paid. Agent: I'll update your status",Not Paid
C029,A103,U122,285,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Can’t pay now. Agent: I'll escalate the case",Paid
C030,A102,U859,294,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I need more time. Agent: Let me process the payment",Not Paid
C031,A103,U602,109,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: This is harassment. Agent: Payment confirmed",Paid
C032,A102,U150,307,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I need more time. Agent: I'll update your status",Not Paid
C033,A102,U324,353,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I lost my job. Agent: Payment confirmed",Paid
C034,A104,U702,310,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Will talk to lawyer. Agent: Let's schedule a follow-up",Paid
C035,A103,U695,146,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Wrong number. Agent: We can do installments",Not Paid
C036,A102,U520,208,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I’ll pay next week. Agent: I'll escalate the case",Not Paid
C037,A102,U847,267,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: Please stop calling. Agent: I'll escalate the case",Not Paid
C038,A102,U648,258,"Agent: Hello, this is DebtCo regarding your pending balance. Customer: I’ll pay next week. Agent: Let's schedule a follow-up",Paid
